Age,Age_Category,Gender,Occupational_Status,State,City,Latitude,Longitude,Residence,Favourite_Shows,Series_Genre
21,21-30,Female,Student,Kerala,Kollam,8.9969,76.8721,Town/City,Crash Landing On You,K-drama
21,21-30,Female,Student,Kerala,Kollam,8.9969,76.8721,Town/City,The Bold Type,Comedy
21,21-30,Female,Student,Uttarakhand,Nainital,29.3919,79.4542,Rural,Money Heist,Crime
21,21-30,Female,Student,Uttarakhand,Nainital,29.3919,79.4542,Rural,Brooklyn Nine-Nine,Comedy
21,21-30,Female,Student,Uttarakhand,Nainital,29.3919,79.4542,Rural,The Grand Tour,Reality Show
19,11-20,Female,Student,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,The Witcher,Fantasy
19,11-20,Female,Student,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,Normal People,Romance
19,11-20,Female,Student,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,Rick And Morty,Comedy
20,11-20,Male,Student,Maharashtra,Mumbai,18.9667,72.8333,Town/City,Brooklyn Nine-Nine,Comedy
20,11-20,Male,Student,Maharashtra,Mumbai,18.9667,72.8333,Town/City,Two And A Half Men,Comedy
20,11-20,Male,Student,Maharashtra,Mumbai,18.9667,72.8333,Town/City,The Big Bang Theory,Comedy
18,11-20,Male,Student,Kerala,Pilathara,12.0827,75.2625,Town/City,Game Of Thrones,Action
18,11-20,Male,Student,Kerala,Pilathara,12.0827,75.2625,Town/City,Cobra Kai,Comedy-drama
18,11-20,Male,Student,Kerala,Pilathara,12.0827,75.2625,Town/City,Stranger Things,Horror
24,21-30,Male,Employed,Bihar,Patna,25.61,85.1414,Town/City,Breaking Bad,Crime
