Age,Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,Genre
20,11-20,Male,Unemployed,,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Action
20,11-20,Male,Unemployed,,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Thriller
23,21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Romantic Comedy
23,21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Sci-Fi/Fantasy
23,21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Horror
23,21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Crime/Mystery
23,21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Action
23,21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Thriller
20,11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Horror
24,21-30,Female,Student,,Karnataka ,Bangalore,12.9699,77.598,Town/City,Sci-Fi/Fantasy
24,21-30,Female,Student,,Karnataka ,Bangalore,12.9699,77.598,Town/City,Crime/Mystery
24,21-30,Female,Student,,Karnataka ,Bangalore,12.9699,77.598,Town/City,Thriller
37,31-40,Female,Employed,between 1 and  3 lakhs,Kerala,Thrissur,10.52,76.21,Metrpolitan,Romantic Comedy
