Age,Age_Category,Gender,State,City,Latitude,Longitude,Residence,Occupational_Status,Favourite_Movies,Movie_Genre
23,21-30,Male,Gujarat,Vadodara,22.3,73.2,Town/City,Self Employed,Bird Box,Horror
23,21-30,Male,Gujarat,Vadodara,22.3,73.2,Town/City,Self Employed,Ozark,Crime
23,21-30,Male,Gujarat,Vadodara,22.3,73.2,Town/City,Self Employed,Shershaah,Action
25,21-30,Male,Kerala,Bangalore,12.9699,77.598,Town/City,Self Employed,Minal Murali,Fantasy
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Unemployed,Nograj,Comedy
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Unemployed,KGF,Action
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Unemployed,Cobra Kai,Comedy
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Rider,Action
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Badava Rascal,Romantic Comedy
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Unemployed,Pushpa,Action
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Unemployed,Marvels,Sci-Fi
21,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Unemployed,Avengers Age Of Ultron,Sci-Fi
17,11-20,Female,Kerala,Kottayam,9.5916,76.5222,Town/City,Unemployed,Bro Daddy,Comedy
17,11-20,Female,Kerala,Kottayam,9.5916,76.5222,Town/City,Unemployed,Jan.E.Man,Comedy
17,11-20,Female,Kerala,Kottayam,9.5916,76.5222,Town/City,Unemployed,Marrakar,Action
22,21-30,Female,Gujarat ,Vadodara,22.3,73.2,Town/City,Unemployed,Shershaah,Action
22,21-30,Female,Gujarat ,Vadodara,22.3,73.2,Town/City,Unemployed,Pushpa,Action
22,21-30,Female,Gujarat ,Vadodara,22.3,73.2,Town/City,Unemployed,Atrangi Re,Drama
20,11-20,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Money Heist,Thriller
20,11-20,Male,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Unemployed,Joji,Thriller
20,11-20,Male,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Unemployed,Justice League: Snyder Cut,Sci-Fi
20,11-20,Male,Kerala ,Kochi,9.9667,76.2833,Metrpolitan,Unemployed,The White Tiger,Crime
23,21-30,Male,Kerala,Kannur,11.8745,75.3704,Town/City,Student,The Suicide Squad 2,Sci-Fi
23,21-30,Male,Kerala,Kannur,11.8745,75.3704,Town/City,Student,Drishyam 2,Crime
23,21-30,Male,Kerala,Kannur,11.8745,75.3704,Town/City,Student,Don't Look Up,Comedy
20,11-20,Male,Kerala,Ernakulam,9.9816,76.2999,Town/City,Unemployed,Cold Case,Crime
24,21-30,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Student,Interstellar,Sci-Fi
24,21-30,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Student,Catch Me If You Can,Crime
24,21-30,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Student,Birdbox,Horror
37,31-40,Female,Kerala,Thrissur,10.52,76.21,Metrpolitan,Employed,Minnal Murali,Action
37,31-40,Female,Kerala,Thrissur,10.52,76.21,Metrpolitan,Employed,Marrakar,Action
37,31-40,Female,Kerala,Thrissur,10.52,76.21,Metrpolitan,Employed,Bro Daddy,Comedy
34,31-40,Female,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Minnal Murali,Action
34,31-40,Female,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Bell Bottom,Thriller
34,31-40,Female,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Shershaah,Action
23,21-30,Male,Kerala,Kannur,11.8745,75.3704,Town/City,Student,Minnal Murali,Action
23,21-30,Male,Kerala,Kannur,11.8745,75.3704,Town/City,Student,Bro Daddy,Comedy
23,21-30,Male,Kerala,Kannur,11.8745,75.3704,Town/City,Student,Jai Bhim,Mystery
21,21-30,Male,Karnataka,Chikmagalur,13.3161,75.772,Town/City,Student,Robert,Romance
21,21-30,Male,Karnataka,Chikmagalur,13.3161,75.772,Town/City,Student,Ratnanprapancha,Drama
21,21-30,Male,Karnataka,Chikmagalur,13.3161,75.772,Town/City,Student,Jai Bhim,Mystery
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Proposal,Comedy
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Coco,Mystery
21,21-30,Female,Karnataka,Mangalore,12.8703,74.8806,Town/City,Student,Spiderman,Superhero
20,11-20,Male,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,Student,Pirates Of The Caribbean,Fantasy
20,11-20,Male,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,Student,Encanto,Anime
20,11-20,Male,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,Student,Coco,Mystery
22,21-30,Female,Uttar Pradesh ,Prayagraj,25.4358,81.8463,Town/City,Student,Tenet,Sci-Fi
22,21-30,Female,Uttar Pradesh ,Prayagraj,25.4358,81.8463,Town/City,Student,The Unholy,Horror
22,21-30,Female,Uttar Pradesh ,Prayagraj,25.4358,81.8463,Town/City,Student,Spiderman: No Way Home,Sci-Fi
23,21-30,Female,Kerala,Kannur,11.8745,75.3704,Town/City,Student,The Pursuit Of Happiness,Drama
23,21-30,Female,Kerala,Kannur,11.8745,75.3704,Town/City,Student,Along With The Gods: The Last 49 Days,Fantasy
23,21-30,Female,Kerala,Kannur,11.8745,75.3704,Town/City,Student,Last Christmas,Romantic Comedy
35,31-40,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Employed,The Royal Treatment,Romance
35,31-40,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Employed,Haseen Dilruba,Mystery
35,31-40,Female,Karnataka ,Bangalore,12.9699,77.598,Town/City,Employed,The Perfect Date,Romantic Comedy
19,11-20,Male,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Student,Schindler's List,Drama
19,11-20,Male,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Student,Kurup,Thriller
19,11-20,Male,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Student,The Intern,Comedy
17,11-20,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Student,Rush Hour 1 2 3,Comedy
17,11-20,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Student,Central intelligence,Comedy
17,11-20,Male,Karnataka,Bangalore,12.9699,77.598,Town/City,Student,Pushpa,Action
22,21-30,Female,Gujarat,Vadodara,22.3,73.2,Town/City,Student,Run,Mystery
